title,location,url,pre_word_count,compensation_label_signature,uses_real_headings,spacer_p_count,br_in_li_count,underline_count,bold_italic_count,section_label_count,casing_styles,flags
Software Engineer - Simulation & Robotics Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/7a8f3e6c-d576-41af-a81e-bf4fe20da12a/?gh_jid=7a8f3e6c-d576-41af-a81e-bf4fe20da12a,482,strong|||colon-in|no-range,5,2,0,0,0,5,Mixed=2; Title_Case=3,uses real heading tags (5x <h3>); uses 2 empty spacer paragraph(s); section labels written in Title Case (norm = sentence case); heading-tag labels include trailing colon (e.g. 'About the Role:')
Software Engineer - Simulation & Robotics Engineer,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/abd4addb-2d11-4207-b3a2-446a09121e39/?gh_jid=abd4addb-2d11-4207-b3a2-446a09121e39,482,strong|||colon-in|no-range,5,2,0,0,0,5,Mixed=2; Title_Case=3,uses real heading tags (5x <h3>); uses 2 empty spacer paragraph(s); section labels written in Title Case (norm = sentence case); heading-tag labels include trailing colon (e.g. 'About the Role:')
Aviation Compliance Lead,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/b9f9047b-1555-4978-9bff-70eae58a6b17/?gh_jid=b9f9047b-1555-4978-9bff-70eae58a6b17,399,strong|||colon-in|no-range,3,1,1,0,0,3,Mixed=3,uses real heading tags (3x <h2>); uses 1 empty spacer paragraph(s); forced <br> line-break inside 1/15 bullet items
"Director, Global Supply Management - Mechanicals","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/eb7fbbdb-3346-4f7f-a202-8bfd3441217a/?gh_jid=eb7fbbdb-3346-4f7f-a202-8bfd3441217a,612,strong|||colon-out|no-range,0,3,0,0,0,3,Sentence_case=2; Title_Case=1,colon placed OUTSIDE the bolded label (e.g. '<strong>Compensation Range</strong>:'); uses 3 empty <p>/<p><br></p> spacer paragraphs; mixes Title Case + sentence case section labels within the same posting
Hardware Engineering Program Manager,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/b49e6784-2183-4de4-a0a1-7661203c254a/?gh_jid=b49e6784-2183-4de4-a0a1-7661203c254a,491,strong|||colon-in|no-range,8,3,0,0,0,8,Sentence_case=3; Title_Case=5,"uses real heading tags (3x <h2>, 5x <h3>); uses 3 empty <p>/<p><br></p> spacer paragraphs; mixes Title Case + sentence case section labels within the same posting"
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/8d3979a8-c791-4825-8cf4-9b25479b9519/?gh_jid=8d3979a8-c791-4825-8cf4-9b25479b9519,521,missing,0,0,1,0,0,4,Sentence_case=3; Title_Case=1,no Compensation/Compensation Range label at all; forced <br> line-break inside 1/9 bullet items; mixes Title Case + sentence case section labels within the same posting
Senior Buyer,"Hayward, California, United States - Full-time",https://www.skydio.com/jobs/5d32766d-990a-4c4c-a8c6-5e934dd8bd38/?gh_jid=5d32766d-990a-4c4c-a8c6-5e934dd8bd38,478,strong|||colon-in|no-range,2,3,0,0,0,3,Sentence_case=3,uses real heading tags (2x <h2>); uses 3 empty <p>/<p><br></p> spacer paragraphs; heading-tag labels include trailing colon (e.g. 'How you will make an impact:')
"Senior Director, Product Management, Drone as First Responder (DFR)","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/7ef6359b-6454-4f91-871f-b33961585086/?gh_jid=7ef6359b-6454-4f91-871f-b33961585086,602,strong|||colon-out|range,0,0,0,0,0,4,Sentence_case=3; Title_Case=1,uses 'Compensation Range:' instead of 'Compensation:'; colon placed OUTSIDE the bolded label (e.g. '<strong>Compensation Range</strong>:'); mixes Title Case + sentence case section labels within the same posting
Senior NPI Product Quality Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/178a7e84-562e-40db-9abd-94bbf29159ca/?gh_jid=178a7e84-562e-40db-9abd-94bbf29159ca,391,strong|||colon-in|no-range,0,0,0,1,1,4,Sentence_case=3; Title_Case=1,uses <u> underline (1x); combines bold + italic (1x); mixes Title Case + sentence case section labels within the same posting
Workplace Experience Coordinator Part-Time,"Zurich, Switzerland - Part-time",https://www.skydio.com/jobs/d023afe5-f19f-42f7-a1dd-aa94a361b86f/?gh_jid=d023afe5-f19f-42f7-a1dd-aa94a361b86f,486,missing,0,1,0,0,0,5,Sentence_case=1; Title_Case=4,no Compensation/Compensation Range label at all; uses 1 empty spacer paragraph(s); mixes Title Case + sentence case section labels within the same posting
Aviation Regulatory Program Manager,US Remote - Full-time,https://www.skydio.com/jobs/d73ae64d-5877-4ab6-ad42-0224702f3fba/?gh_jid=d73ae64d-5877-4ab6-ad42-0224702f3fba,493,strong|||colon-in|no-range,3,2,0,0,0,3,Mixed=3,uses real heading tags (3x <h2>); uses 2 empty spacer paragraph(s)
Communications Manager,US Remote - Full-time,https://www.skydio.com/jobs/50567d8d-2903-494f-8e08-7c8ca734dc3a/?gh_jid=50567d8d-2903-494f-8e08-7c8ca734dc3a,425,strong|||colon-in|no-range,3,3,0,0,0,3,Sentence_case=3,uses real heading tags (3x <h2>); uses 3 empty <p>/<p><br></p> spacer paragraphs
Deployment Engineer - Southeast,US Remote - Full-time,https://www.skydio.com/jobs/6138ba1c-c048-407d-9ea2-7b51a3d38756/?gh_jid=6138ba1c-c048-407d-9ea2-7b51a3d38756,595,strong|||colon-in|no-range,0,5,0,0,0,6,Mixed=1; Title_Case=1; Sentence_case=4,uses 5 empty <p>/<p><br></p> spacer paragraphs; mixes Title Case + sentence case section labels within the same posting
"Director of Product Management, Drone as First Responder (DFR)","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/129a5bad-ca1d-4eda-843b-96f4581f3c43/?gh_jid=129a5bad-ca1d-4eda-843b-96f4581f3c43,601,strong|||colon-out|range,0,0,0,0,0,3,Sentence_case=3,uses 'Compensation Range:' instead of 'Compensation:'; colon placed OUTSIDE the bolded label (e.g. '<strong>Compensation Range</strong>:')
"Field Support Representative (Southwest, Remote)",US Remote - Full-time,https://www.skydio.com/jobs/9b93e7c2-e5d5-48b2-a2d2-8df71e0d8357/?gh_jid=9b93e7c2-e5d5-48b2-a2d2-8df71e0d8357,712,strong|||colon-in|no-range,0,2,0,0,0,4,Sentence_case=3; Title_Case=1,uses 2 empty spacer paragraph(s); mixes Title Case + sentence case section labels within the same posting
GTM Data Engineer Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/b90b9b3b-e326-4fb6-85bd-fe52bec5f180/?gh_jid=b90b9b3b-e326-4fb6-85bd-fe52bec5f180,456,strong|||colon-in|no-range,0,2,2,0,0,16,Sentence_case=15; Mixed=1,uses 2 empty spacer paragraph(s); forced <br> line-break inside 2/18 bullet items
GTM Enablement Associate,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/2b3fea3b-e1b5-4497-9607-e9864019b0e7/?gh_jid=2b3fea3b-e1b5-4497-9607-e9864019b0e7,374,strong|||colon-in|no-range,0,1,0,0,0,4,Sentence_case=2; Title_Case=2,uses 1 empty spacer paragraph(s); mixes Title Case + sentence case section labels within the same posting
IT Technician (Help Desk - Linux Focus),"Hayward, California, United States - Full-time",https://www.skydio.com/jobs/28c865cf-6aa4-45d1-ae13-34bb8f6b776b/?gh_jid=28c865cf-6aa4-45d1-ae13-34bb8f6b776b,524,strong|||colon-in|no-range,0,2,0,0,0,5,Mixed=4; Title_Case=1,uses 2 empty spacer paragraph(s); section labels written in Title Case (norm = sentence case)
Lead Staff Electrical Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/1bbcf144-7057-4a6e-9d51-4924bfda52b9/?gh_jid=1bbcf144-7057-4a6e-9d51-4924bfda52b9,318,strong|||colon-in|no-range,0,2,0,1,0,3,Sentence_case=3,uses 2 empty spacer paragraph(s); uses <u> underline (1x)
"Manager, Technical Support",US CA San Mateo - Full-time,https://www.skydio.com/jobs/2b312ffb-26c3-4b7f-8904-acbc4e51934b/?gh_jid=2b312ffb-26c3-4b7f-8904-acbc4e51934b,780,strong|||colon-out|no-range,0,0,0,0,0,6,Sentence_case=5; Title_Case=1,colon placed OUTSIDE the bolded label (e.g. '<strong>Compensation Range</strong>:'); mixes Title Case + sentence case section labels within the same posting
"Program Manager, Major Deployments (Hawaii)","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/b194dcda-7ff0-4d44-9785-16895a44727f/?gh_jid=b194dcda-7ff0-4d44-9785-16895a44727f,596,strong|||colon-in|no-range,0,3,0,0,0,3,Sentence_case=2; Title_Case=1,uses 3 empty <p>/<p><br></p> spacer paragraphs; mixes Title Case + sentence case section labels within the same posting
"Program Manager, Major Deployments (Mid Atlantic)",US Remote - Full-time,https://www.skydio.com/jobs/c2651b2d-14c5-4bf7-9a35-90b3c939af10/?gh_jid=c2651b2d-14c5-4bf7-9a35-90b3c939af10,603,strong|||colon-in|no-range,0,3,0,0,0,3,Sentence_case=2; Title_Case=1,uses 3 empty <p>/<p><br></p> spacer paragraphs; mixes Title Case + sentence case section labels within the same posting
Sales Planning Analyst Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/712900e5-ff75-4e07-8f88-626d4f8ab653/?gh_jid=712900e5-ff75-4e07-8f88-626d4f8ab653,409,strong|||colon-in|range,0,1,0,0,0,3,Mixed=3,uses 'Compensation Range:' instead of 'Compensation:'; uses 1 empty spacer paragraph(s)
Senior Customer Support Representative - India,"Bangalore, India - Full-time",https://www.skydio.com/jobs/bb7a9c5c-8dbb-4a2f-9d7d-db9ab1f707b0/?gh_jid=bb7a9c5c-8dbb-4a2f-9d7d-db9ab1f707b0,614,strong|||colon-in|no-range,0,1,0,0,0,4,Sentence_case=3; Title_Case=1,uses 1 empty spacer paragraph(s); mixes Title Case + sentence case section labels within the same posting
Senior People Analytics Analyst,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/0703aaa0-9fcb-4b22-ad8c-b53e74151a72/?gh_jid=0703aaa0-9fcb-4b22-ad8c-b53e74151a72,454,strong|||colon-in|range,0,0,0,0,0,9,Title_Case=6; Mixed=3,uses 'Compensation Range:' instead of 'Compensation:'; section labels written in Title Case (norm = sentence case)
"Senior Product Manager, Platform & Infrastructure","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/8d67884d-58f4-41a7-8740-ab65d3c03fa8/?gh_jid=8d67884d-58f4-41a7-8740-ab65d3c03fa8,767,strong|||colon-in|no-range,0,6,0,0,0,9,Mixed=2; Title_Case=1; Sentence_case=6,uses 6 empty <p>/<p><br></p> spacer paragraphs; mixes Title Case + sentence case section labels within the same posting
Senior Revenue Operations Manager,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/05e9f029-3a9d-4956-a4c8-e0bc786dd86a/?gh_jid=05e9f029-3a9d-4956-a4c8-e0bc786dd86a,441,strong|||colon-in|no-range,0,2,0,0,0,5,Mixed=3; Title_Case=2,uses 2 empty spacer paragraph(s); section labels written in Title Case (norm = sentence case)
Senior Software Engineer - Mobile Platform,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/e8cb16b0-d2f0-4cb4-a1a1-0f43d195cc9a/?gh_jid=e8cb16b0-d2f0-4cb4-a1a1-0f43d195cc9a,530,strong|||colon-in|no-range,0,3,0,0,0,5,Mixed=4; Title_Case=1,uses 3 empty <p>/<p><br></p> spacer paragraphs; section labels written in Title Case (norm = sentence case)
Senior Technical Recruiter,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/16b0647d-a470-4917-9bb9-a95967828edc/?gh_jid=16b0647d-a470-4917-9bb9-a95967828edc,433,strong|||colon-in|no-range,0,0,2,1,0,2,Sentence_case=2,forced <br> line-break inside 2/14 bullet items; uses <u> underline (1x)
Senior Technical Recruiter - Hardware Operations,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/737c02d2-f03f-4716-a0c8-e14a0307f8cb/?gh_jid=737c02d2-f03f-4716-a0c8-e14a0307f8cb,440,strong|||colon-in|no-range,0,0,1,1,0,3,Sentence_case=3,forced <br> line-break inside 1/13 bullet items; uses <u> underline (1x)
Software Engineer Intern Fall 2026/Winter 2027,US CA San Mateo - Intern,https://www.skydio.com/jobs/f6320e9b-4eed-408d-8d37-d509fb0406ee/?gh_jid=f6320e9b-4eed-408d-8d37-d509fb0406ee,369,strong|||colon-in|range,0,1,0,0,0,2,Sentence_case=2,uses 'Compensation Range:' instead of 'Compensation:'; uses 1 empty spacer paragraph(s)
"Staff Product Manager, Platform & Infrastructure","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/dbd737b2-beed-4917-9948-dde4250929a8/?gh_jid=dbd737b2-beed-4917-9948-dde4250929a8,786,strong|||colon-in|no-range,0,6,0,0,0,9,Mixed=2; Title_Case=1; Sentence_case=6,uses 6 empty <p>/<p><br></p> spacer paragraphs; mixes Title Case + sentence case section labels within the same posting
Success Systems Specialist,US Remote - Full-time,https://www.skydio.com/jobs/8de95d05-a601-47e2-8a13-5ba4d7ad428a/?gh_jid=8de95d05-a601-47e2-8a13-5ba4d7ad428a,729,strong|||colon-in|no-range,0,1,0,0,0,8,Mixed=3; Title_Case=4; Sentence_case=1,uses 1 empty spacer paragraph(s); mixes Title Case + sentence case section labels within the same posting
"Supplier Quality Engineer, Sustaining",Taiwan - Full-time,https://www.skydio.com/jobs/4c4874bf-02da-4ccc-8918-2cca08feaf21/?gh_jid=4c4874bf-02da-4ccc-8918-2cca08feaf21,566,missing,0,1,0,0,0,3,Sentence_case=3,no Compensation/Compensation Range label at all; uses 1 empty spacer paragraph(s)
Technical Support Specialist - West Coast,US Remote - Full-time,https://www.skydio.com/jobs/3ac81a34-b7fe-4142-9d29-12bcc1376182/?gh_jid=3ac81a34-b7fe-4142-9d29-12bcc1376182,620,strong|||colon-out|no-range,0,0,0,0,0,1,Title_Case=1,colon placed OUTSIDE the bolded label (e.g. '<strong>Compensation Range</strong>:'); section labels written in Title Case (norm = sentence case)
Autonomy Engineer - Deep Learning Infrastructure,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/dcb04687-9b4f-425d-8c37-1111cf3ccf3d/?gh_jid=dcb04687-9b4f-425d-8c37-1111cf3ccf3d,481,strong|||colon-in|no-range,0,1,0,0,0,1,Sentence_case=1,uses 1 empty spacer paragraph(s)
Autonomy Engineer - ML & DL Infrastructure,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/b6be08f7-89c0-48dd-b427-f587f23dbf34/?gh_jid=b6be08f7-89c0-48dd-b427-f587f23dbf34,454,strong|||colon-in|no-range,0,3,0,0,0,3,Mixed=3,uses 3 empty <p>/<p><br></p> spacer paragraphs
Autonomy Engineer Intern - Computer Vision/Deep Learning Fall 2026,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/c84945f0-b8e0-4272-b636-265d6611a8eb/?gh_jid=c84945f0-b8e0-4272-b636-265d6611a8eb,341,strong|||colon-in|range,0,0,0,0,0,3,Sentence_case=3,uses 'Compensation Range:' instead of 'Compensation:'
Autonomy Engineer Intern - Deep Learning (Computational Photography),"Zurich, Switzerland or Tampere, Finland - Intern",https://www.skydio.com/jobs/6280ab1d-147d-4f39-8618-a216c18ce0f9/?gh_jid=6280ab1d-147d-4f39-8618-a216c18ce0f9,567,missing,0,0,0,0,0,3,Sentence_case=3,no Compensation/Compensation Range label at all
Autonomy Engineer Intern - Deep Learning (Computational Photography),"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/d13e3179-e646-4873-84a6-d492a692bc25/?gh_jid=d13e3179-e646-4873-84a6-d492a692bc25,567,missing,0,0,0,0,0,3,Sentence_case=3,no Compensation/Compensation Range label at all
Autonomy Engineer Intern Fall 2026,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/17f6173b-c96f-4b02-a6b5-da0a91ad95e5/?gh_jid=17f6173b-c96f-4b02-a6b5-da0a91ad95e5,279,strong|||colon-in|range,0,0,0,0,0,3,Sentence_case=3,uses 'Compensation Range:' instead of 'Compensation:'
"Customer Success Manager, DFR Majors - Northeast",US Remote - Full-time,https://www.skydio.com/jobs/23721f25-7d5f-45fa-a5fe-d58f9680e1ef/?gh_jid=23721f25-7d5f-45fa-a5fe-d58f9680e1ef,499,strong|||colon-in|no-range,0,0,0,0,0,5,Mixed=1; Sentence_case=3; Title_Case=1,mixes Title Case + sentence case section labels within the same posting
"Customer Success Manager, DFR Majors - Southeast",US Remote - Full-time,https://www.skydio.com/jobs/3d4ac015-a6db-4a8d-9fec-557eb92eaf8d/?gh_jid=3d4ac015-a6db-4a8d-9fec-557eb92eaf8d,496,strong|||colon-in|no-range,0,0,0,0,0,6,Mixed=1; Sentence_case=3; Title_Case=2,mixes Title Case + sentence case section labels within the same posting
Engineering Manager - Autonomy,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/849ae77c-5ca2-42b5-812b-8b3ad4524a89/?gh_jid=849ae77c-5ca2-42b5-812b-8b3ad4524a89,338,strong|||colon-in|no-range,0,0,1,0,0,3,Sentence_case=3,forced <br> line-break inside 1/10 bullet items
Hardware Operations Program Manager,"Hayward, California, United States - Full-time",https://www.skydio.com/jobs/55b393cf-124c-46f8-bd83-8c62e3ce628b/?gh_jid=55b393cf-124c-46f8-bd83-8c62e3ce628b,379,strong|||colon-in|no-range,0,3,0,0,0,3,Sentence_case=3,uses 3 empty <p>/<p><br></p> spacer paragraphs
Head of Warehouse & Logistics Operations,US CA Production - Full-time,https://www.skydio.com/jobs/0c1e9360-09dc-4c73-85bc-51aa72afd3ad/?gh_jid=0c1e9360-09dc-4c73-85bc-51aa72afd3ad,447,strong|||colon-in|no-range,0,2,0,0,0,2,Sentence_case=2,uses 2 empty spacer paragraph(s)
"Manager, Logistics",US CA Production - Full-time,https://www.skydio.com/jobs/eeb4b52f-d4e6-4823-9e4b-0ce75041d928/?gh_jid=eeb4b52f-d4e6-4823-9e4b-0ce75041d928,446,strong|||colon-in|no-range,0,2,0,0,0,3,Sentence_case=3,uses 2 empty spacer paragraph(s)
Middleware Software Engineer Intern - Fall 2026,US CA San Mateo - Intern,https://www.skydio.com/jobs/7d9dbb60-4ca1-4ba8-8bae-5ebfded4a915/?gh_jid=7d9dbb60-4ca1-4ba8-8bae-5ebfded4a915,333,strong|||colon-in|range,0,0,0,0,0,3,Sentence_case=3,uses 'Compensation Range:' instead of 'Compensation:'
Product Support Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/a4f131a0-4dde-46ce-85a1-c83fc3e0f21e/?gh_jid=a4f131a0-4dde-46ce-85a1-c83fc3e0f21e,581,strong|||colon-in|no-range,0,2,0,0,0,0,,uses 2 empty spacer paragraph(s)
Product Support Engineer Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/8df0689e-a489-4c72-a1f7-09dfe59745b8/?gh_jid=8df0689e-a489-4c72-a1f7-09dfe59745b8,441,strong|||colon-in|no-range,0,3,0,0,0,0,,uses 3 empty <p>/<p><br></p> spacer paragraphs
"Production Manager, PM Shift","Hayward, California, United States - Full-time",https://www.skydio.com/jobs/7836de07-b630-438b-8db5-37a9ee618009/?gh_jid=7836de07-b630-438b-8db5-37a9ee618009,295,strong|||colon-in|no-range,0,3,0,0,0,3,Mixed=3,uses 3 empty <p>/<p><br></p> spacer paragraphs
Senior Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/a6421d3e-fdd0-48d6-8d8f-3fd605cdf09f/?gh_jid=a6421d3e-fdd0-48d6-8d8f-3fd605cdf09f,314,strong|||colon-in|no-range,0,1,0,0,0,3,Sentence_case=3,uses 1 empty spacer paragraph(s)
Senior Brand Designer (Contract),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/5ae7e25f-7da3-4523-a8be-8866aa89e8df/?gh_jid=5ae7e25f-7da3-4523-a8be-8866aa89e8df,501,strong|||colon-in|no-range,0,3,0,0,0,3,Mixed=1; Sentence_case=2,uses 3 empty <p>/<p><br></p> spacer paragraphs
Senior RF Design Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/7bd047de-b65b-42b2-a2bf-7d33ceabd083/?gh_jid=7bd047de-b65b-42b2-a2bf-7d33ceabd083,595,strong|||colon-in|no-range,0,2,0,0,0,3,Mixed=3,uses 2 empty spacer paragraph(s)
"Senior Software Engineer,  Data Platform","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/aeaa130d-3e8b-42c5-a805-46f056e62fda/?gh_jid=aeaa130d-3e8b-42c5-a805-46f056e62fda,731,strong|||colon-in|no-range,0,0,0,0,0,4,Sentence_case=3; Title_Case=1,mixes Title Case + sentence case section labels within the same posting
"Senior Software Engineer, Frontend","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/86cfc7bb-001c-4c1c-b680-160265535a96/?gh_jid=86cfc7bb-001c-4c1c-b680-160265535a96,350,strong|||colon-in|no-range,0,0,0,0,0,4,Mixed=3; Title_Case=1,section labels written in Title Case (norm = sentence case)
"Senior Software Engineer, Full Stack","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/5655fbe3-66b0-4951-afdc-3b67f71e6938/?gh_jid=5655fbe3-66b0-4951-afdc-3b67f71e6938,623,strong|||colon-in|no-range,0,0,0,1,0,4,Sentence_case=4,uses <u> underline (1x)
Senior/Staff Embedded Software Engineer – Camera Systems,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/71033170-d9d0-474b-b712-a11e4f11c146/?gh_jid=71033170-d9d0-474b-b712-a11e4f11c146,394,strong|||colon-in|no-range,0,4,0,0,0,4,Mixed=4,uses 4 empty <p>/<p><br></p> spacer paragraphs
"Software Engineer, Full Stack","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/067e1f47-9fba-4abf-b986-874d4d569706/?gh_jid=067e1f47-9fba-4abf-b986-874d4d569706,323,strong|||colon-in|no-range,0,0,0,0,0,4,Sentence_case=3; Title_Case=1,mixes Title Case + sentence case section labels within the same posting
Sr/Staff Embedded Software Engineer - Camera Systems,"Tampere, Finland - Full-time",https://www.skydio.com/jobs/898a9c77-cc20-4ed6-a050-f68e5c15d5c8/?gh_jid=898a9c77-cc20-4ed6-a050-f68e5c15d5c8,394,strong|||colon-in|no-range,0,4,0,0,0,4,Mixed=4,uses 4 empty <p>/<p><br></p> spacer paragraphs
"Staff Global Supply Manager,  Mechanicals","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/2ffe6453-4a2f-4dfb-94f8-882f731a11ae/?gh_jid=2ffe6453-4a2f-4dfb-94f8-882f731a11ae,546,strong|||colon-in|no-range,0,1,0,0,0,2,Sentence_case=2,uses 1 empty spacer paragraph(s)
