title,team,location,mode,h1,h2,h3,h4,strong,em,u,br,multi_br,empty_p,odd_styles,div,title_whitespace_issue
"Director, Growth Marketing - Commercial",Marketing,"San Mateo, California, United States",p-strong (norm),0,0,0,0,6,1,0,8,0,2,,0,0
Senior People Analytics Analyst,People & Recruiting,"San Mateo, California, United States",p-strong (norm),0,0,0,0,17,0,0,0,0,0,,0,0
Senior Technical Recruiter,People & Recruiting,"San Mateo, California, United States",p-strong (norm),0,0,0,0,4,0,1,2,0,0,,0,0
Senior Technical Recruiter - Hardware Operations,People & Recruiting,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,1,4,0,0,,0,0
Staff Technical Recruiter,People & Recruiting,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,1,0,0,0,,0,0
Workplace Experience Coordinator Part-Time,People & Recruiting,"Zurich, Switzerland",p-strong (norm),0,0,0,0,6,0,0,1,0,1,,0,0
Aviation Compliance Lead,Policy & Regulatory Affairs,"San Mateo, California, United States",heading-tags,0,3,0,0,4,0,0,1,0,1,,0,0
Aviation Regulatory Program Manager,Policy & Regulatory Affairs,US Remote,heading-tags,0,3,0,0,4,0,0,0,0,2,,0,0
"Director of Product Management, Drone as First Responder (DFR)",Product,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,4,1,0,,0,0
"Senior Director, Product Management, Drone as First Responder (DFR)",Product,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,2,1,0,,0,0
"Senior Product Manager, Platform & Infrastructure",Product,"San Mateo, California, United States",p-strong (norm),0,0,0,0,15,0,0,1,0,6,,0,0
"Staff Product Manager, Platform & Infrastructure",Product,"San Mateo, California, United States",p-strong (norm),0,0,0,0,15,0,0,1,0,6,,0,0
"Customer Success Manager, DFR Majors - Northeast",Professional Services and Training,US Remote,p-strong (norm),0,0,0,0,5,0,0,0,0,0,,0,0
"Customer Success Manager, DFR Majors - Southeast",Professional Services and Training,US Remote,p-strong (norm),0,0,0,0,6,0,0,0,0,0,,0,0
"Customer Success Manager, DFR Mid-Market - Northeast",Professional Services and Training,US Remote,p-strong (norm),0,0,0,0,6,0,0,0,0,5,,0,0
Deployment Engineer - Southeast,Professional Services and Training,US Remote,p-strong (norm),0,0,0,0,6,0,0,0,0,5,,0,0
Mission Success Operations Manager,Professional Services and Training,US Remote,p-strong (norm),0,0,0,0,4,0,0,0,0,0,,0,0
"Program Manager, Commercial Programs",Professional Services and Training,US AR Remote,p-strong (norm),0,0,0,0,8,0,0,0,0,5,,0,0
"Program Manager, Major Deployments (Hawaii)",Professional Services and Training,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,3,,0,0
Success Systems Specialist ,Professional Services and Training,US Remote,p-strong (norm),0,0,0,0,8,0,0,0,0,1,,0,1
Enterprise Account Manager (MoD/ MoI) – EMEA (Finland),Sales,"Tampere, Finland",p-strong (norm),0,0,0,0,4,0,0,2,0,0,,0,0
Enterprise Account Manager (MoD/ MoI) – EMEA (Germany),Sales,Germany,p-strong (norm),0,0,0,0,4,0,0,2,0,0,,0,0
Enterprise Account Manager (MoD/ MoI) – EMEA (Switzerland),Sales,"Zurich, Switzerland",p-strong (norm),0,0,0,0,4,0,0,2,0,0,,0,0
"Enterprise Account Manager,  US Navy, US Marine Corps, and IC/SOCOM",Sales,US Remote,p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,1
"Enterprise Account Manager, US Army",Sales,US Remote,p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
GTM Data Engineer Intern,Sales,"San Mateo, California, United States",p-strong (norm),0,0,0,0,16,0,0,3,0,2,,0,0
GTM Enablement Associate,Sales,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,2,0,1,,0,0
"GTM Engineer, Pre-Sales",Sales,US CA San Mateo,p-strong (norm),0,0,0,0,4,8,0,6,1,4,,0,0
Public Safety Strategist,Sales,US Remote,p-strong (norm),0,0,0,0,3,0,1,0,0,0,,0,0
"Revenue Operations Engineer, Quoting Systems",Sales,"San Mateo, California, United States",mixed,0,5,0,0,39,0,0,4,0,2,,0,0
Sales Planning Analyst Intern,Sales,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,1,0,1,,0,0
Senior Revenue Operations Manager,Sales,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,0,0,2,,0,0
Senior Strategy and Planning Analyst,Sales,US CA San Mateo,p-strong (norm),0,0,0,0,3,0,0,1,0,2,,0,0
Senior Software Engineer - Security,Security,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,0,0,0,,0,0
" Senior Software Engineer,  Infrastructure",Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,0,0,0,,0,1
 Software Engineer - Infrastructure,Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,0,0,0,,0,1
Middleware Software Engineer Intern - Fall 2026,Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
"Senior Engineering Manager, Infrastructure",Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,7,0,0,0,0,0,,0,0
Senior Software Engineer - Embedded ,Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,4,0,0,0,0,0,,0,1
Senior Software Engineer - Mobile Platform ,Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,0,0,3,,0,1
"Senior Software Engineer,  Data Platform ",Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,1,0,0,,0,1
"Senior Software Engineer, Frontend",Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,0,0,5,,0,0
"Senior Software Engineer, Full Stack",Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,1,1,0,0,,0,0
"Senior Wireless Software Engineer, National Security",Software,"San Mateo, California, United States",heading-tags,0,6,0,0,32,0,0,2,0,4,,0,0
Senior/Staff Embedded Software Engineer – Camera Systems,Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,4,0,0,0,0,4,,0,0
Software Engineer - Embedded,Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,4,0,0,0,0,0,,0,0
Software Engineer Intern Fall 2026/Winter 2027,Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,4,1,1,,0,0
"Software Engineer, Full Stack",Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,0,0,0,,0,0
Sr/Staff Embedded Software Engineer - Camera Systems,Software,"Tampere, Finland",p-strong (norm),0,0,0,0,4,0,0,0,0,4,,0,0
Staff Software Engineer - Embedded,Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,4,0,0,0,0,0,,0,0
"Staff Software Engineer, Frontend",Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,5,0,0,0,0,5,,0,0
"Staff Software Engineer, Full Stack",Software,"San Mateo, California, United States",p-strong (norm),0,0,0,0,4,0,0,0,0,0,,0,0
"Director, Global Supply Management - Mechanicals",Supply Chain & Logistics,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,3,,0,0
Hardware Operations Program Manager,Supply Chain & Logistics,"Hayward, California, United States",p-strong (norm),0,0,0,0,9,0,0,0,0,3,,0,0
Senior Business Operations Manager,Supply Chain & Logistics,"San Mateo, California, United States",mixed,0,0,3,0,6,0,0,0,0,3,,0,0
"Staff Global Supply Manager,  Mechanicals",Supply Chain & Logistics,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,1,0,1,,0,1
"Supplier Quality Engineer, Sustaining",Supply Chain & Logistics,Taiwan,p-strong (norm),0,0,0,0,3,0,0,0,0,1,,0,0
Supply Chain Intern,Supply Chain & Logistics,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,2,1,0,,0,0
